ensembl_gene_id gene_symbol entrezgene_id
ENSG00000198888 MT-ND1 4535
ENSG00000198763 MT-ND2 4536
ENSG00000198804 MT-CO1 4512
ENSG00000210151 MT-TS1 113219467
ENSG00000198712 MT-CO2 4513
ENSG00000228253 MT-ATP8 4509
ENSG00000198899 MT-ATP6 4508
ENSG00000198938 MT-CO3 4514
ENSG00000198840 MT-ND3 4537
ENSG00000212907 MT-ND4L 4539
ENSG00000198886 MT-ND4 4538
ENSG00000198786 MT-ND5 4540
ENSG00000198695 MT-ND6 4541
ENSG00000198727 MT-CYB 4519
ENSG00000223972 DDX11L1 84771
ENSG00000223972 DDX11L1 727856
ENSG00000223972 DDX11L1 100287102
ENSG00000223972 DDX11L1 100287596
ENSG00000223972 DDX11L1 102725121
ENSG00000227232 WASH7P 653635
ENSG00000278267 MIR6859-1 102466751
ENSG00000284332 MIR1302-2 100302278
ENSG00000237613 FAM138A 645520
ENSG00000186092 OR4F5 79501
ENSG00000279457 WASH9P 102723897
ENSG00000273874 MIR6859-2 102465909
ENSG00000284733 OR4F29 729759
ENSG00000230021  101928626
ENSG00000284662 OR4F16 81399
ENSG00000237491 LINC01409 105378580
ENSG00000177757 FAM87B 400728
ENSG00000228794 LINC01128 643837
ENSG00000225880 LINC00115 79854
ENSG00000288531  107984850
ENSG00000230368 FAM41C 284593
ENSG00000223764 LINC02593 100130417
ENSG00000187634 SAMD11 148398
ENSG00000188976 NOC2L 26155
ENSG00000187961 KLHL17 339451
ENSG00000187583 PLEKHN1 84069
ENSG00000187642 PERM1 84808
ENSG00000188290 HES4 57801
ENSG00000187608 ISG15 9636
ENSG00000188157 AGRN 375790
ENSG00000217801  100288175
ENSG00000237330 RNF223 401934
ENSG00000131591 C1orf159 54991
ENSG00000223823 LINC01342 254099
ENSG00000207730 MIR200B 406984
ENSG00000207607 MIR200A 406983
ENSG00000198976 MIR429 554210
ENSG00000205231 TTLL10-AS1 100506376
ENSG00000162571 TTLL10 254173
ENSG00000186891 TNFRSF18 8784
ENSG00000186827 TNFRSF4 7293
ENSG00000078808 SDF4 51150
ENSG00000176022 B3GALT6 126792
ENSG00000184163 C1QTNF12 388581
