ensembl_gene_id gene_symbol entrezgene_id
ENSRNOG00000030644 Mt-nd1 26193
ENSRNOG00000031033 Mt-nd2 26194
ENSRNOG00000034234 Mt-co1 26195
ENSRNOG00000030371 Mt-co2 26198
ENSRNOG00000033299 Mt-atp8 26196
ENSRNOG00000031979 Mt-atp6 26197
ENSRNOG00000030700 Mt-co3 26204
ENSRNOG00000033615 Mt-nd3 26199
ENSRNOG00000031053 Mt-nd4l 26200
ENSRNOG00000029707 Mt-nd4 26201
ENSRNOG00000029971 Mt-nd5 26202
ENSRNOG00000029042 Mt-nd6 26203
ENSRNOG00000031766 Mt-cyb 26192
ENSRNOG00000018791 Dnlz 296587
ENSRNOG00000057228 Ccdc92b 360567
ENSRNOG00000042213 Zscan25 363872
ENSRNOG00000018876 Entr1 306322
ENSRNOG00000000479 Kifc1 294286
ENSRNOG00000038085 Rpe 501157
ENSRNOG00000002753 Adam11 360638
ENSRNOG00000039588 Mcidas 688802
ENSRNOG00000042111 Sult1c2a 316153
ENSRNOG00000046660 Gpc6 691984
ENSRNOG00000047369 LOC100910057 100910057
ENSRNOG00000017053 Fbxo36 363268
ENSRNOG00000031833 RGD1562392 367201
ENSRNOG00000045838 Hps1 114638
ENSRNOG00000006894 Tor1a 266606
ENSRNOG00000001795 Itgb5 257645
ENSRNOG00000007532 RGD1305178 311855
ENSRNOG00000008671  290484
ENSRNOG00000000780 Ppp1r11 294207
ENSRNOG00000007596 Rffl 282844
ENSRNOG00000040215 LOC100910526 171072
ENSRNOG00000040215 Sult1c2 171072
ENSRNOG00000000781 Rnf39 171387
ENSRNOG00000049537  100302372
ENSRNOG00000008880 Nrk 315907
ENSRNOG00000017536 Cdc16 290875
ENSRNOG00000025408 Dux4 306226
ENSRNOG00000021815 Lig3 303369
ENSRNOG00000017285 Tab1 315139
ENSRNOG00000050885 LOC100910526 100910526
ENSRNOG00000050885 Sult1c2 100910526
ENSRNOG00000050885 LOC100910526 171072
ENSRNOG00000050885 Sult1c2 171072
ENSRNOG00000013557 Lancl1 114515
ENSRNOG00000000480 Phf1 294287
ENSRNOG00000052220 Ccdc83 680270
ENSRNOG00000025235 Tmem130 304280
ENSRNOG00000016539 Rab24 361208
ENSRNOG00000016539 Mxd3 361208
ENSRNOG00000016539 Rab24 252915
ENSRNOG00000016539 Mxd3 252915
ENSRNOG00000021468 Grm8 60590
ENSRNOG00000009766 Gpr180 306165
ENSRNOG00000016410 Prelid1 290995
ENSRNOG00000002548 Tnn 304913
ENSRNOG00000018052 Cnksr3 308113
ENSRNOG00000025433 Cphx1 502042
ENSRNOG00000001794 Muc13 207126
ENSRNOG00000011081 Serpina7 81806
ENSRNOG00000040195 RGD1559960 501084
ENSRNOG00000000798 Gnl1 309593
ENSRNOG00000020339 Neurl1 309459
ENSRNOG00000006642 Yipf6 363476
